# Category histogram for IDs 959-1095 (first-ever audit)
# Source: .agent-logs/batch-959_1095/diag.log
# Generated by piping divergence rows from diag.log:
#   grep "neural-divergence" diag.log | sed -E "s/.*desc='([a-z_]+)_.*/\1/" | sort | uniq -c

# Raw divergence counts per first-word category prefix (recipe-style):
     25 absdiff
     21 bool_and
      4 edge
      1 edge_if
     10 edge_literal
      1 edge_loop
      1 edge_loop_once
     16 nested_quad
     24 nested_sumsq

# ============================================================================
# Per-category pass-rate (cross-referenced with test_suite_1000.generate_test_programs):
# category                     div /  total  pass_rate
# -------------------------------------------------------
# absdiff                       25 /     25     0.0%
# bool_and                      21 /     25    16.0%
# edge_cases (all edge_*)       17 /     46    63.0%  (handwritten edges + edge_literal)
# nested_quad                   16 /     16     0.0%
# nested_sumsq                  24 /     25     4.0%
#
# TOTAL: ok=34/137 div=103/137 errors=0 suite_mismatches=0  (24.8% pass rate)
# ============================================================================

# Slice composition (verified via PYTHONPATH=.:c4_release python -c on test_suite_1000):
#   IDs 959-974   = nested_quad (last 16 of 25)
#   IDs 975-999   = nested_sumsq (25)
#   IDs 1000-1045 = edge cases (31 handwritten + 15 edge_literal = 46)
#   IDs 1046-1070 = absdiff (25)
#   IDs 1071-1095 = bool_and (25)
#
# Note: gcd category does NOT appear in the 959-1095 slice. The handoff doc
# implied last-5-categories = gcd, nested_functions, edge_cases, abs_diff,
# boolean_logic, but actual offsets place gcd entirely before ID 959. The
# slice contains only the tail of nested_functions onward.

# Summary line from diag.log:
# [1096-summary] mode=final-output selected=137 ok=34 divergences=103 errors=0 suite_mismatches=0
